SYMBOLS
BTC-USDT
ETH-USDT
BCH-USDT
XRP-USDT
EOS-USDT
LTC-USDT
TRX-USDT
ETC-USDT
LINK-USDT
XLM-USDT
ADA-USDT
XMR-USDT
DASH-USDT
ZEC-USDT
XTZ-USDT
BNB-USDT
ATOM-USDT
ONT-USDT
IOTA-USDT
BAT-USDT
VET-USDT
NEO-USDT
QTUM-USDT
IOST-USDT
THETA-USDT
ALGO-USDT
ZIL-USDT
KNC-USDT
ZRX-USDT
COMP-USDT
OMG-USDT
DOGE-USDT
SXP-USDT
KAVA-USDT
BAND-USDT
WAVES-USDT
MKR-USDT
DOT-USDT
DEFI-USDT
YFI-USDT
